customer_id,first_name,last_name,age_band,nationality,home_market,loyalty_tier,preferred_cabin_class,join_date,last_booking_date,days_since_last_booking,trips_last_12m,lifetime_bookings,avg_trip_value_hkd,ancillary_spend_hkd,total_revenue_hkd,email_open_rate,app_engagement_score,customer_lifetime_value_12m,churn_probability_90d,customer_segment
CUST000063,Jennifer,Wilson,45-54,US,AU,Silver,Economy,2021-04-16,2024-07-26,158,5,23,7195,439,150759,0.28,66.6,38170,0.529,Mass Market
CUST000064,John,Campbell,45-54,SG,CN,Gold,Economy,2022-05-07,2024-02-22,313,6,14,8309,634,125551,0.424,71.9,62632,0.873,At Risk
CUST000065,Devin,Rodriguez,35-44,JP,CN,Standard,Business,2019-06-01,2024-05-09,236,3,6,3303,483,28760,0.089,34.7,10367,0.931,At Risk
CUST000066,Natasha,Green,35-44,TH,SG,Standard,Economy,2019-06-12,2024-04-06,269,2,18,5091,400,77303,0.288,35.0,9964,0.882,At Risk
CUST000067,Emily,Tran,25-34,GB,AU,Standard,Business,2024-12-16,2024-02-17,318,7,10,1242,116,17368,0.34,58.2,8637,0.871,At Risk
CUST000068,Darren,Pratt,18-24,KR,HK,Standard,Economy,2019-01-17,2024-04-26,249,1,9,3999,559,32564,0.153,26.2,4158,0.951,At Risk
CUST000069,William,Henderson,35-44,CN,CN,Diamond,Economy,2022-05-01,2024-05-09,236,2,9,9532,1394,114634,0.029,51.3,29478,0.97,High Value Loyalists
CUST000070,Fernando,Moore,25-34,CN,US,Standard,Economy,2021-09-28,2024-06-23,191,2,5,7840,1491,37443,0.347,43.6,17094,0.748,At Risk
CUST000071,Nicole,Juarez,35-44,GB,JP,Standard,Economy,2022-10-25,2024-12-02,29,3,24,6562,815,140038,0.2,55.7,20162,0.34,Mass Market
CUST000072,Steven,Smith,55-64,TH,AU,Standard,Economy,2019-01-09,2024-04-15,260,6,26,2656,484,65412,0.086,47.6,17246,0.886,At Risk
CUST000073,Tiffany,Foster,25-34,SG,TW,Standard,Economy,2020-02-06,2024-09-06,116,9,29,3667,233,88109,0.226,79.8,31800,0.187,Frequent Flyers
CUST000074,Joann,Fernandez,18-24,US,HK,Diamond,Premium Economy,2021-01-11,2024-11-16,45,4,11,4065,578,68959,0.4,91.4,25076,0.195,High Value Loyalists
CUST000075,Morgan,Lopez,25-34,GB,US,Standard,Economy,2024-07-15,2024-08-26,127,2,8,7447,916,52904,0.423,51.8,15237,0.658,At Risk
CUST000076,Chris,Gill,25-34,SG,CN,Standard,Economy,2021-02-04,2024-08-28,125,4,15,8063,1671,117588,0.321,57.8,35711,0.525,Mass Market
CUST000077,Jonathan,Cabrera,45-54,CN,AU,Standard,Economy,2022-06-04,2024-08-13,140,3,12,5219,900,58710,0.541,60.4,16791,0.475,Mass Market
CUST000078,Erika,Johnson,35-44,TH,SG,Diamond,Economy,2022-06-09,2024-09-21,101,3,11,7199,1206,107501,0.467,84.6,33854,0.384,High Value Loyalists
CUST000079,Kristina,White,55-64,KR,SG,Diamond,Economy,2021-06-26,2024-01-27,339,2,13,3601,734,65249,0.165,48.5,11551,0.97,High Value Loyalists
CUST000080,Elizabeth,Collier,45-54,AU,US,Standard,Economy,2023-12-21,2024-02-16,319,2,18,5928,546,91457,0.264,30.0,11762,0.97,At Risk
CUST000081,Cynthia,Chavez,35-44,HK,KR,Silver,Premium Economy,2023-04-11,2024-12-18,13,4,11,7531,1347,97658,0.02,62.8,35512,0.292,Mass Market
CUST000082,Sara,Macias,55-64,TH,SG,Standard,Premium Economy,2021-08-30,2024-07-05,179,3,21,8733,1723,201237,0.576,58.7,28748,0.726,At Risk
CUST000083,Margaret,Thompson,25-34,KR,HK,Silver,Business,2020-10-28,2024-09-13,109,2,24,2674,585,107095,0.282,55.6,6518,0.517,Mass Market
CUST000084,Tami,Curry,18-24,AU,UK,Standard,Premium Economy,2020-08-31,2024-02-29,306,5,19,8419,1035,163630,0.708,63.8,43060,0.764,At Risk
CUST000085,Tonya,Montoya,25-34,KR,US,Gold,Economy,2024-08-08,2024-07-06,178,4,20,10534,1719,245692,0.287,67.2,56596,0.627,At Risk
CUST000086,Kathleen,Contreras,45-54,TW,UK,Gold,Economy,2019-10-03,2024-05-16,229,3,16,2110,173,36629,0.327,59.8,7988,0.806,At Risk
CUST000087,Jeffrey,Wells,35-44,TH,TW,Standard,Economy,2020-01-06,2024-11-29,32,2,12,1751,254,19122,0.451,60.5,3660,0.328,Growth Opportunity
CUST000088,Derrick,Moore,25-34,AU,HK,Standard,Premium Economy,2020-07-27,2024-04-18,257,4,4,8825,1110,36210,0.644,60.2,36210,0.769,At Risk
CUST000089,Michael,Patterson,35-44,KR,HK,Standard,Economy,2023-12-30,2024-07-09,175,3,3,4423,325,11126,0.669,62.8,12917,0.683,At Risk
CUST000090,Joe,Evans,25-34,JP,AU,Standard,Economy,2023-02-15,2024-02-19,316,5,15,4865,1002,70856,0.36,49.1,26902,0.901,At Risk
CUST000091,Jennifer,Jones,45-54,US,KR,Standard,First,2024-10-17,2024-11-22,39,3,4,7966,1620,63835,0.346,60.7,26368,0.337,Mass Market
CUST000092,Christopher,Watson,35-44,GB,CN,Standard,Economy,2023-04-30,2024-09-12,110,3,9,3411,726,30019,0.264,51.8,11388,0.621,At Risk
CUST000093,Brian,Dixon,35-44,HK,SG,Diamond,Economy,2021-12-12,2024-03-04,302,1,14,5958,480,105980,0.657,66.1,8821,0.97,High Value Loyalists
CUST000094,Katherine,Williams,25-34,CN,UK,Standard,Business,2019-03-30,2024-10-07,85,3,3,2372,126,9664,0.467,61.9,6782,0.447,Mass Market
CUST000095,Barbara,Burns,45-54,HK,KR,Gold,Economy,2024-04-03,2024-09-24,98,1,19,7295,1286,163455,0.26,57.6,9894,0.491,Mass Market
CUST000096,Anthony,Hunter,35-44,SG,KR,Standard,Economy,2023-01-06,2024-09-13,109,3,15,7283,699,94057,0.51,61.7,21761,0.518,Mass Market
CUST000097,Michael,Smith,25-34,AU,JP,Standard,Economy,2019-06-06,2024-06-25,189,2,16,5774,906,85170,0.466,48.5,12205,0.782,Growth Opportunity
CUST000098,Jamie,Bishop,25-34,TH,TW,Standard,Economy,2024-10-27,2024-12-11,20,5,9,5426,764,44234,0.249,68.4,28237,0.254,Frequent Flyers
CUST000099,Brenda,Flores,65+,SG,KR,Gold,First,2022-09-21,2024-05-22,223,2,21,5367,796,282705,0.276,53.2,14258,0.828,At Risk
CUST000100,Kevin,Garner,55-64,AU,UK,Standard,Premium Economy,2022-09-19,2024-03-14,292,4,18,5022,675,93506,0.172,38.5,20779,0.958,At Risk
CUST000101,Cynthia,Mitchell,45-54,TH,UK,Standard,Economy,2021-02-19,2024-09-11,111,0,18,5236,271,76978,0.543,47.8,4983,0.657,Growth Opportunity
CUST000102,Tanner,Ferguson,25-34,CN,SG,Silver,Economy,2020-12-25,2024-10-30,62,1,3,7317,698,20752,0.272,53.9,8015,0.522,Mass Market
CUST000103,Amanda,Maynard,65+,AU,JP,Silver,Economy,2021-03-08,2024-08-26,127,3,22,1470,304,34177,0.165,54.4,5322,0.661,At Risk
CUST000104,Alan,Nguyen,45-54,JP,TW,Silver,Premium Economy,2019-04-20,2024-05-12,233,2,14,9434,1150,148176,0.595,58.2,21168,0.786,Growth Opportunity
CUST000105,Keith,Callahan,45-54,US,SG,Standard,Economy,2021-09-13,2024-06-30,184,3,17,5811,604,85840,0.41,51.7,17502,0.722,At Risk
CUST000106,Christopher,Johnson,35-44,TW,AU,Standard,Economy,2019-05-17,2024-05-27,218,3,3,10353,560,25440,0.02,33.4,29633,0.841,At Risk
CUST000107,Jeffrey,Torres,25-34,TH,UK,Gold,Premium Economy,2022-07-30,2024-03-16,290,2,22,5951,673,169294,0.472,55.7,15390,0.97,Growth Opportunity
CUST000108,Gregory,Farmer,25-34,KR,US,Silver,Business,2020-03-29,2024-01-24,342,3,3,5421,476,25009,0.047,32.5,17691,0.97,At Risk
CUST000109,Caitlin,Weaver,55-64,HK,HK,Silver,Business,2022-09-11,2024-07-21,163,3,11,6776,939,118406,0.228,54.1,23145,0.679,At Risk
CUST000110,Jay,Henderson,35-44,SG,UK,Standard,Business,2021-03-28,2024-04-01,274,6,12,2649,444,46811,0.43,60.3,16969,0.696,At Risk
CUST000111,Abigail,Olson,25-34,HK,HK,Standard,Economy,2020-09-01,2024-07-07,177,5,8,3047,184,20120,0.425,62.8,14632,0.647,At Risk
CUST000112,Valerie,Hernandez,25-34,JP,TW,Diamond,Business,2019-11-14,2024-11-11,50,3,24,4955,847,261736,0.235,79.4,23352,0.462,High Value Loyalists
CUST000113,Rachel,Cox,35-44,GB,HK,Silver,Business,2021-04-20,2024-05-30,215,3,22,5563,300,184060,0.145,46.6,17589,0.818,At Risk
CUST000114,Lindsey,Sanders,25-34,GB,HK,Standard,Economy,2019-06-01,2024-01-22,344,5,19,7666,1274,135631,0.646,58.3,40867,0.931,At Risk
CUST000115,Matthew,Drake,55-64,GB,TW,Gold,Economy,2020-06-30,2024-07-30,154,4,11,5567,425,66096,0.597,81.6,27976,0.477,Mass Market
CUST000116,Karina,Zamora,45-54,SG,HK,Silver,Economy,2021-10-12,2024-06-19,195,4,23,8591,938,189528,0.311,59.8,38116,0.678,At Risk
CUST000117,Donna,Richardson,45-54,SG,CN,Standard,First,2022-10-17,2024-04-13,262,5,10,1200,100,22600,0.349,53.0,5900,0.879,At Risk
CUST000118,Jordan,Aguilar,35-44,TH,UK,Standard,Business,2021-10-03,2024-03-07,299,2,10,9373,1352,135838,0.24,30.7,19575,0.97,At Risk
CUST000119,Wendy,Barry,45-54,SG,TW,Silver,Business,2019-08-12,2024-12-29,2,4,17,4493,829,124845,0.31,75.2,21288,0.149,Mass Market
CUST000120,Katrina,Williamson,45-54,HK,HK,Standard,Economy,2023-04-28,2024-12-10,21,3,17,6898,1002,106742,0.357,62.6,21631,0.285,Mass Market
CUST000121,Victor,Byrd,45-54,US,HK,Silver,First,2021-07-16,2024-07-10,174,2,15,8035,1635,265575,0.478,58.2,19340,0.697,Growth Opportunity
CUST000122,Andrew,Chan,25-34,JP,AU,Silver,Economy,2022-10-04,2024-11-20,41,2,6,2500,139,13584,0.086,53.2,5278,0.422,Mass Market
CUST000123,Bryan,Gutierrez,35-44,AU,TH,Standard,Economy,2024-11-12,2024-02-02,333,4,5,8575,950,37549,0.421,45.2,34670,0.97,At Risk
CUST000124,Jose,Huber,18-24,CN,TW,Diamond,Premium Economy,2019-04-17,2024-04-21,254,3,13,7053,808,138869,0.604,77.8,32047,0.78,High Value Loyalists
CUST000125,Mary,Berg,35-44,CN,AU,Standard,Business,2024-12-05,2024-05-23,222,4,18,9300,970,235917,0.299,49.2,37360,0.836,At Risk
CUST000126,Bernard,Wolfe,25-34,JP,AU,Standard,Business,2024-09-15,2024-06-03,211,4,4,5564,676,31748,0.195,45.9,22734,0.819,At Risk
CUST000127,Melissa,Schroeder,25-34,GB,HK,Silver,Economy,2022-02-08,2024-07-08,176,6,11,5388,793,59101,0.53,80.1,37086,0.47,Mass Market
CUST000128,Sara,Morrison,25-34,SG,AU,Silver,Economy,2019-03-01,2024-12-13,18,2,13,3763,312,45637,0.178,58.7,8150,0.372,Mass Market
CUST000129,Christopher,Greer,45-54,SG,AU,Standard,Economy,2020-06-25,2024-03-28,278,4,7,3844,323,22846,0.143,38.5,15130,0.928,At Risk
CUST000130,Stephen,Maxwell,25-34,TH,KR,Silver,Economy,2020-05-09,2024-07-11,173,3,24,5253,389,116497,0.059,46.5,16926,0.855,At Risk
CUST000131,Tyler,Davis,55-64,HK,HK,Gold,Business,2022-07-01,2024-08-11,142,4,27,6679,672,326694,0.434,76.0,34213,0.543,Mass Market
CUST000132,Jacqueline,Ortiz,45-54,AU,KR,Gold,Economy,2023-02-23,2024-07-26,158,3,16,7047,1125,131090,0.15,58.4,28321,0.605,At Risk
CUST000133,Lindsey,Taylor,35-44,TW,HK,Gold,Economy,2021-12-05,2024-07-15,169,10,16,3171,436,57864,0.082,89.8,41778,0.395,Mass Market
CUST000134,Diana,Pollard,45-54,TH,TW,Standard,Economy,2021-02-18,2024-01-27,339,2,23,5171,511,102737,0.375,32.9,10330,0.97,At Risk
CUST000135,Martha,Holden,18-24,CN,JP,Standard,Premium Economy,2019-04-04,2024-10-21,71,5,14,5890,1256,91798,0.18,61.5,32785,0.364,Mass Market
CUST000136,Alicia,Lyons,65+,JP,HK,Silver,Business,2024-08-18,2024-10-28,64,3,16,1200,189,30864,0.449,70.8,4167,0.37,Mass Market
CUST000137,Andrea,Hall,35-44,GB,TW,Standard,Economy,2024-12-06,2024-11-16,45,5,8,7284,698,50162,0.435,73.8,36268,0.291,Frequent Flyers
CUST000138,Travis,Jones,55-64,KR,AU,Silver,Economy,2019-03-13,2024-05-21,224,3,10,4816,278,43716,0.365,54.7,15282,0.846,At Risk
CUST000139,Angela,Johnson,25-34,CN,KR,Standard,Business,2020-12-17,2024-12-21,10,1,23,5415,487,173732,0.227,48.3,5360,0.328,Mass Market
CUST000140,Jeffrey,Cruz,35-44,SG,TW,Standard,Economy,2024-11-22,2024-03-20,286,8,22,8587,1142,169643,0.482,71.4,70962,0.721,At Risk
CUST000141,Wesley,Richards,35-44,SG,TH,Standard,Economy,2021-05-24,2024-04-11,264,3,3,3193,272,8144,0.124,33.8,9437,0.97,At Risk
CUST000142,Christopher,Robbins,65+,AU,TW,Standard,Economy,2022-09-25,2024-04-19,256,0,10,3465,364,30147,0.536,36.0,3482,0.97,Growth Opportunity
CUST000143,Catherine,Tate,35-44,KR,AU,Standard,First,2022-01-29,2024-07-15,169,4,4,1200,262,9688,0.315,54.1,5368,0.566,Mass Market
CUST000144,John,Berry,35-44,HK,JP,Silver,Premium Economy,2022-10-18,2024-08-05,148,2,13,5206,1088,81822,0.337,54.6,12588,0.615,At Risk
CUST000145,Eugene,Perry,25-34,TH,CN,Silver,Economy,2024-04-12,2024-01-27,339,4,13,7766,1061,99607,0.412,52.4,35308,0.97,At Risk
CUST000146,James,Castro,25-34,AU,UK,Standard,Economy,2021-04-11,2024-03-06,300,5,18,1200,231,20682,0.56,58.4,6555,0.899,At Risk
CUST000147,Peter,Swanson,35-44,AU,SG,Standard,Economy,2023-10-17,2024-10-28,64,3,5,3077,300,13270,0.402,61.0,9208,0.348,Mass Market
CUST000148,Adam,Stone,35-44,HK,AU,Gold,Economy,2021-09-26,2024-09-28,94,5,10,5711,1010,67381,0.28,78.7,38745,0.358,Mass Market
CUST000149,Raymond,Combs,18-24,SG,US,Standard,Economy,2020-03-26,2024-10-04,88,2,6,4333,876,25144,0.447,55.8,9551,0.475,Mass Market
CUST000150,Kathleen,Davis,55-64,HK,UK,Standard,Economy,2019-06-13,2024-07-13,171,4,23,4353,834,95773,0.535,62.7,19007,0.503,Mass Market
CUST000151,Kelsey,Smith,55-64,GB,HK,Standard,Economy,2023-04-19,2024-05-15,230,4,10,5685,896,52450,0.518,57.3,24050,0.72,At Risk
CUST000152,Christopher,Espinoza,25-34,TW,TH,Silver,Economy,2022-08-12,2024-10-12,80,4,20,9388,1791,195416,0.388,72.1,44716,0.398,Mass Market
CUST000153,Meagan,Green,35-44,TW,TW,Gold,Economy,2024-03-30,2024-12-11,20,3,14,5439,278,80266,0.392,79.1,20088,0.207,Mass Market
CUST000154,Kim,Carter,25-34,JP,UK,Silver,Economy,2020-05-30,2024-08-14,139,4,12,5876,679,68083,0.418,68.6,26220,0.496,Mass Market
CUST000155,Louis,Parker,45-54,HK,HK,Diamond,Business,2023-04-14,2024-07-02,182,3,24,6408,1158,339990,0.491,79.1,30388,0.592,High Value Loyalists
CUST000156,Jose,Collins,25-34,AU,CN,Gold,Economy,2019-02-21,2024-05-02,243,4,17,1200,143,22892,0.334,63.9,6236,0.826,At Risk
CUST000157,Brian,Johnson,45-54,US,AU,Standard,Business,2019-11-01,2024-11-16,45,3,13,6062,496,109290,0.384,61.8,17855,0.269,Mass Market
CUST000158,Daniel,Robinson,45-54,SG,US,Standard,Business,2022-07-25,2024-04-26,249,1,1,1956,355,2908,0.379,35.2,2115,0.933,At Risk
CUST000159,Patricia,Boyle,45-54,KR,TW,Standard,First,2022-03-26,2024-11-02,59,2,20,5408,832,211328,0.132,45.6,11398,0.579,Mass Market
CUST000160,Megan,Thompson,25-34,SG,AU,Standard,Economy,2022-07-21,2024-09-16,106,1,14,7755,1079,98162,0.258,41.8,8058,0.688,At Risk
CUST000161,Nichole,Jenkins,55-64,JP,AU,Silver,Economy,2024-01-11,2024-06-29,185,4,27,4430,477,114548,0.518,68.9,19628,0.661,At Risk
CUST000162,David,Gross,25-34,CN,HK,Standard,Premium Economy,2023-12-31,2024-11-23,38,5,24,7710,513,178848,0.672,83.8,37260,0.231,Frequent Flyers
CUST000163,Angela,Hicks,18-24,KR,UK,Standard,Economy,2020-03-04,2024-06-09,205,1,21,1548,305,31274,0.37,38.4,1698,0.804,At Risk
CUST000164,Christine,Moore,35-44,KR,US,Standard,Economy,2020-03-19,2024-12-17,14,9,27,5956,501,136548,0.339,92.4,52753,0.079,Frequent Flyers
